kode_kelas,kode_mk,kode_dosen,hari,jam_mulai,jam_selesai,ruangan
D3-2A,251F2115,KO013N,MONDAY,07:00,08:40,D108
D3-2A,251F2115,KO078N,MONDAY,10:40,12:20,D102
D3-2A,251F2111,KO021N,MONDAY,13:00,15:30,D217
D3-2A,211F2014,KO008N,TUESDAY,07:00,08:40,D101
D3-2A,251F2112,KO009N,TUESDAY,13:00,14:40,D111
D3-2A,251F2113,KO061N,TUESDAY,14:40,16:40,D111
D3-2A,251F2114,KO001N,WEDNESDAY,07:00,08:40,D108
D3-2A,251F2116,KO003N,WEDNESDAY,13:00,18:20,D107
D3-2A,251F2114,KO073N,THURSDAY,07:00,10:40,D107
D3-2A,251F2112,KO072N,THURSDAY,10:40,14:40,D107
D3-2A,251F2113,KO061N,FRIDAY,07:50,09:30,D107
D3-2B,251F2111,KO021N,MONDAY,07:00,09:30,D111
D3-2B,251F2115,KO013N,MONDAY,09:50,11:30,D111
D3-2B,251F2114,KO073N,TUESDAY,07:00,10:40,D106
D3-2B,211F2014,KO008N,TUESDAY,10:40,12:20,D111
D3-2B,251F2115,KO074N,TUESDAY,13:00,14:40,D102
D3-2B,251F2113,KO066N,WEDNESDAY,07:00,08:40,D115
D3-2B,251F2116,KO073N,WEDNESDAY,13:00,18:20,D115
D3-2B,251F2114,KO001N,THURSDAY,07:00,08:40,D111
D3-2B,251F2113,KO061N,THURSDAY,10:40,12:20,D111
D3-2B,251F2112,KO062N,THURSDAY,14:40,16:40,D111
D3-2B,251F2112,KO052N,FRIDAY,07:50,11:30,D115
D3-2C,211F2014,KO074N,MONDAY,07:00,08:40,D112
D3-2C,251F2111,KO021N,MONDAY,09:50,12:20,D112
D3-2C,251F2115,KO013N,MONDAY,13:00,14:40,D112
D3-2C,251F2115,KO078N,MONDAY,14:40,17:30,D102
D3-2C,251F2114,KO001N,TUESDAY,07:00,08:40,D112
D3-2C,251F2112,KO009N,TUESDAY,10:40,12:20,D112
D3-2C,251F2113,KO061N,WEDNESDAY,08:40,09:30,D112
D3-2C,251F2116,KO079N,WEDNESDAY,13:00,18:20,D116
D3-2C,251F2112,KO062N,THURSDAY,10:40,14:40,D116
D3-2C,251F2113,KO066N,THURSDAY,14:40,16:40,D107
D3-2C,251F2114,KO076N,FRIDAY,09:50,14:40,D106
